                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    5 Nov 2022 15:41:05
Satellite-FINCH


      Time (UTCG)             x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)   
-----------------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------
5 Nov 2022 16:00:00.000     3664.427530    -5820.716405       -0.000000     3664.427530    -5820.716405       -0.010449    -4711.348925    -5011.172528       10.478225    -4685.697607    -5035.176911        0.049674    -4685.697607    -5035.176911        0.049674    -4685.989069    -5034.905663       -0.000000    -4685.989069    -5034.905663       -0.000000    -4766.982160    -4958.177803       33.504534    -4685.697649    -5035.176872       -0.000000    -4685.697649    -5035.176872       -0.000000     3664.427530    -5820.716405       -0.010449    -4711.348923    -5011.172527       10.479430
5 Nov 2022 16:01:00.000     3581.002880    -5854.915501      452.616844     3581.003325    -5854.916034      452.606437    -4742.790989    -4959.827834      463.163744    -4718.406256    -4983.996074      452.663996    -4718.406258    -4983.996072      452.663997    -4718.683400    -4983.737967      452.616844    -4718.683400    -4983.737967      452.616844    -4795.648382    -4906.497017      486.336074    -4718.394942    -4984.011068      452.616844    -4718.394940    -4984.011070      452.616844     3606.585798    -5839.192192      452.606430    -4742.790888    -4959.827818      463.164954
5 Nov 2022 16:02:00.000     3481.655686    -5862.581756      903.229737     3481.656573    -5862.582819      903.219418    -4753.297350    -4886.588919      913.798755    -4730.286832    -4910.814333      903.274159    -4730.286836    -4910.814329      903.274161    -4730.548433    -4910.570506      903.229737    -4730.548433    -4910.570505      903.229736    -4803.145601    -4833.157424      937.014819    -4730.264210    -4910.844293      903.229736    -4730.264206    -4910.844297      903.229737     3532.823366    -5831.892394      903.219404    -4753.297150    -4886.588888      913.799965
5 Nov 2022 16:03:00.000     3367.056604    -5843.546842     1349.844225     3367.057929    -5843.548430     1349.834042    -4742.823060    -4791.780595     1360.388710    -4721.288299    -4815.956253     1349.885721    -4721.288305    -4815.956247     1349.885724    -4721.533203    -4815.727782     1349.844225    -4721.533204    -4815.727781     1349.844224    -4789.442195    -4738.484264     1383.546035    -4721.254471    -4816.001047     1349.844224    -4721.254465    -4816.001053     1349.844225     3443.466951    -5798.850987     1349.834018    -4742.822761    -4791.780549     1360.389915
5 Nov 2022 16:04:00.000     3237.944835    -5797.767004     1790.484154     3237.946593    -5797.769111     1790.474152    -4711.416632    -4675.823740     1800.957570    -4691.452634    -4699.842945     1790.522542    -4691.452641    -4699.842937     1790.522545    -4691.679761    -4699.630838     1790.484154    -4691.679762    -4699.630837     1790.484154    -4754.600980    -4622.897792     1823.953952    -4691.407748    -4699.902375     1790.484154    -4691.407740    -4699.902383     1790.484154     3338.912718    -5740.216615     1790.474119    -4711.416236    -4675.823679     1800.958764
5 Nov 2022 16:05:00.000     3095.123611    -5725.323660     2223.200634     3095.125794    -5725.326276     2223.190857    -4659.219683    -4539.233236     2233.556762    -4640.914498    -4562.989995     2223.235743    -4640.914505    -4562.989985     2223.235747    -4641.122844    -4562.795187     2223.200634    -4641.122846    -4562.795186     2223.200633    -4698.778787    -4486.911222     2256.290724    -4640.858752    -4563.063798     2223.200633    -4640.858742    -4563.063807     2223.200634     3219.624369    -5656.251741     2223.190815    -4659.219192    -4539.233160     2233.557940
5 Nov 2022 16:06:00.000     2939.455397    -5626.423386     2646.080758     2939.457996    -5626.426500     2646.071250    -4586.466172    -4382.615487     2656.273908    -4569.900502    -4406.004985     2646.112433    -4569.900510    -4406.004973     2646.112438    -4570.089150    -4405.828334     2646.080758    -4570.089152    -4405.828333     2646.080757    -4622.225631    -4331.128251     2678.645146    -4569.834143    -4406.092834     2646.080757    -4569.834132    -4406.092845     2646.080758     3086.130930    -5547.331307     2646.071198    -4586.465589    -4382.615397     2656.275064
5 Nov 2022 16:07:00.000     2771.856878    -5501.397370     3057.256139     2771.859880    -5501.400968     3057.246943    -4493.481259    -4206.665587     3067.241348    -4478.728103    -4229.584650     3057.284242    -4478.728112    -4229.584637     3057.284247    -4478.896222    -4229.426935     3057.256139    -4478.896224    -4229.426934     3057.256138    -4525.283491    -4156.240245     3089.151181    -4478.651425    -4229.686158     3057.256138    -4478.651413    -4229.686169     3057.256139     2939.024291    -5413.940931     3057.246881    -4493.480585    -4206.665483     3067.242478
5 Nov 2022 16:08:00.000     2593.293719    -5350.700241     3454.911270     2593.297111    -5350.704307     3454.902427    -4380.679741    -4012.164098     3464.644501    -4367.804080    -4034.511651     3454.935675    -4367.804089    -4034.511636     3454.935682    -4367.950928    -4034.373566     3454.911270    -4367.950930    -4034.373565     3454.911269    -4408.384681    -3963.023028     3485.996306    -4367.717420    -4034.626367     3454.911269    -4367.717408    -4034.626380     3454.911270     2778.956475    -5256.674605     3454.902353    -4380.678980    -4012.163981     3464.645600
5 Nov 2022 16:09:00.000     2404.775105    -5174.908245     3837.291622     2404.778873    -5174.912761     3837.283170    -4248.564046    -3799.973392     3846.729962    -4237.622552    -3821.650906     3837.312223    -4237.622561    -3821.650889     3837.312230    -4237.747483    -3821.533058     3837.291622    -4237.747485    -3821.533057     3837.291620    -4272.049750    -3752.333254     3867.429600    -4237.526294    -3821.778324     3837.291620    -4237.526281    -3821.778338     3837.291622     2606.636603    -5076.231847     3837.283087    -4248.563200    -3799.973262     3846.731024
5 Nov 2022 16:10:00.000     2207.348095    -4974.716795     4202.711369     2207.352222    -4974.721741     4202.703347    -4097.721792    -3571.033632     4211.813217    -4088.762588    -3591.945556     4202.728075    -4088.762596    -3591.945539     4202.728083    -4088.865052    -3591.848464     4202.711369    -4088.865054    -3591.848464     4202.711368    -4116.884973    -3525.104409     4231.769450    -4088.657157    -3592.085114     4202.711368    -4088.657144    -3592.085128     4202.711369     2422.827610    -4873.414347     4202.703253    -4097.720866    -3571.033489     4211.814238
5 Nov 2022 16:11:00.000     2002.091896    -4750.937491     4549.560727     2002.096363    -4750.942845     4549.553170    -3928.823011    -3326.358448     4558.285975    -3921.885461    -3346.412636     4549.573464    -3921.885468    -3346.412617     4549.573472    -3921.965008    -3346.336725     4549.560727    -3921.965009    -3346.336725     4549.560726    -3943.579478    -3282.342526     4577.410868    -3921.771323    -3346.563716     4549.560726    -3921.771309    -3346.563730     4549.560727     2228.342759    -4649.122203     4549.553066    -3928.822009    -3326.358294     4558.286951
5 Nov 2022 16:12:00.000     1790.112049    -4504.494622     4876.312953     1790.116837    -4504.500361     4876.305894    -3742.617039    -3067.030355     4884.623165    -3737.731581    -3086.138462     4876.321666    -3737.731586    -3086.138443     4876.321674    -3737.787861    -3086.084066     4876.312953    -3737.787862    -3086.084066     4876.312952    -3752.902061    -3025.121630     4902.832468    -3737.609238    -3086.300398     4876.312952    -3737.609225    -3086.300412     4876.312953     2024.041979    -4404.349778     4876.305781    -3742.615966    -3067.030190     4884.624091
5 Nov 2022 16:13:00.000     1572.534541    -4236.421124     5181.530998     1572.539629    -4236.427222     5181.524468    -3539.929058    -2794.195840     5189.389577    -3537.117071    -2812.273717     5181.535648    -3537.117074    -2812.273697     5181.535656    -3537.149838    -2812.241072     5181.530998    -3537.149838    -2812.241073     5181.530997    -3545.697633    -2754.578871     5206.603100    -3536.987065    -2812.445792     5181.530997    -3536.987052    -2812.445806     5181.530998     1810.827984    -4140.181127     5181.524346    -3539.927917    -2794.195664     5189.390449
5 Nov 2022 16:14:00.000     1350.499829    -3947.853953     5463.873702     1350.505194    -3947.860383     5463.867730    -3321.656264    -2509.060140     5471.246049    -3320.929987    -2526.028197     5463.874269    -3320.929988    -2526.028177     5463.874277    -3320.939098    -2526.017445     5463.873702    -3320.939098    -2526.017447     5463.873701    -3322.883309    -2471.909342     5487.388010    -3320.792891    -2526.209653     5463.873701    -3320.792879    -2526.209667     5463.873702     1589.642175    -3857.784995     5463.867600    -3321.655062    -2509.059955     5471.246864
5 Nov 2022 16:15:00.000     1125.156873    -3640.028977     5722.101454     1125.162491    -3640.035711     5722.096066    -3088.763742    -2212.881776     5728.955122    -3090.126220    -2228.665330     5722.097935    -3090.126219    -2228.665310     5722.097944    -3090.111636    -2228.676517     5722.101454    -3090.111636    -2228.676520     5722.101453    -3085.444186    -2178.360660     5743.954474    -3089.982639    -2228.855366     5722.101453    -3089.982628    -2228.855379     5722.101454     1361.460387    -3558.409447     5722.095929    -3088.762482    -2212.881582     5728.955876
5 Nov 2022 16:16:00.000      897.657225    -3314.275439     5955.081331      897.663072    -3314.282447     5955.076549    -2842.280075    -1906.966923     5961.386161    -2845.725157    -1921.496524     5955.073742    -2845.725153    -1921.496504     5955.073750    -2845.686944    -1921.529598     5955.081331    -2845.686943    -1921.529602     5955.081330    -2834.428870    -1875.227388     5975.176906    -2845.575723    -1921.694302     5955.081330    -2845.575714    -1921.694313     5955.081331     1127.288543    -3243.376231     5955.076406    -2842.278765    -1906.966722     5961.386850
5 Nov 2022 16:17:00.000      669.149219    -2972.010055     6161.791746      669.155269    -2972.017306     6161.787592    -2583.292756    -1592.663654     6167.520004    -2588.805123    -1605.875382     6161.780121    -2588.805115    -1605.875363     6161.780130    -2588.743450    -1605.930196     6161.791746    -2588.743448    -1605.930200     6161.791746    -2570.944797    -1563.845324     6180.041474    -2588.650496    -1606.080030     6161.791746    -2588.650488    -1606.080039     6161.791746      888.158231    -2914.074882     6161.787444    -2583.291400    -1592.663446     6167.520625
